camera,timestamp,x,y,zone
CAM 1,2.3356666666666666,1580,495,Entrance
CAM 1,2.3356666666666666,1443,401,Entrance
CAM 1,2.3356666666666666,1500,395,Entrance
CAM 1,2.3356666666666666,1057,367,Entrance
CAM 1,2.3356666666666666,1631,370,Entrance
CAM 1,2.3356666666666666,280,350,Entrance
CAM 1,2.3356666666666666,1579,338,Entrance
CAM 1,2.3356666666666666,1631,316,Entrance
CAM 1,2.3356666666666666,1836,344,Entrance
CAM 1,2.3356666666666666,1670,316,Entrance
CAM 1,2.3356666666666666,738,339,Entrance
CAM 1,2.3356666666666666,1169,297,Entrance
CAM 1,2.3356666666666666,1356,327,Entrance
CAM 1,2.3356666666666666,1738,194,Entrance
CAM 1,2.3356666666666666,1217,196,Entrance
CAM 1,2.3356666666666666,1833,82,Entrance
CAM 1,2.3356666666666666,1241,26,Entrance
CAM 1,2.5025,1894,1019,Entrance
CAM 1,2.5025,1656,1026,Entrance
CAM 1,2.5025,448,1003,Entrance
CAM 1,2.5025,14,845,Entrance
CAM 1,2.5025,76,836,Entrance
CAM 1,2.5025,1828,849,Entrance
CAM 1,2.5025,139,812,Entrance
CAM 1,2.5025,1545,846,Entrance
CAM 1,2.5025,469,846,Entrance
CAM 1,2.5025,1327,841,Entrance
CAM 1,2.5025,445,690,Entrance
CAM 1,2.5025,1877,682,Entrance
CAM 1,2.5025,1711,672,Entrance
CAM 1,2.5025,1665,670,Entrance
CAM 1,2.5025,600,679,Entrance
CAM 1,2.5025,32,665,Entrance
CAM 1,2.5025,1882,647,Entrance
CAM 1,2.5025,241,667,Entrance
CAM 1,2.5025,685,543,Entrance
CAM 1,2.5025,1384,526,Entrance
CAM 1,2.5025,1237,518,Entrance
CAM 1,2.5025,1317,506,Entrance
CAM 1,2.5025,1819,512,Entrance
CAM 1,2.5025,320,513,Entrance
CAM 1,2.5025,965,487,Entrance
CAM 1,2.5025,646,492,Entrance
CAM 1,2.5025,1772,505,Entrance
CAM 1,2.5025,1073,478,Entrance
CAM 1,2.5025,1040,700,Entrance
CAM 1,2.5025,1701,486,Entrance
CAM 1,2.5025,1887,498,Entrance
CAM 1,2.5025,1444,512,Entrance
CAM 1,2.5025,1583,496,Entrance
CAM 1,2.5025,1446,403,Entrance
CAM 1,2.5025,429,375,Entrance
CAM 1,2.5025,1073,369,Entrance
CAM 1,2.5025,1498,381,Entrance
CAM 1,2.5025,1630,376,Entrance
CAM 1,2.5025,280,349,Entrance
CAM 1,2.5025,1661,342,Entrance
CAM 1,2.5025,1227,350,Entrance
CAM 1,2.5025,597,345,Entrance
CAM 1,2.5025,1629,315,Entrance
CAM 1,2.5025,401,326,Entrance
CAM 1,2.5025,1836,341,Entrance
CAM 1,2.5025,906,321,Entrance
CAM 1,2.5025,1221,293,Entrance
CAM 1,2.5025,1433,326,Entrance
CAM 1,2.5025,1738,187,Entrance
CAM 1,2.5025,1221,178,Entrance
CAM 1,2.5025,1822,86,Entrance
CAM 1,2.5025,1241,25,Entrance
CAM 1,2.6693333333333333,1892,1032,Entrance
CAM 1,2.6693333333333333,1758,1026,Entrance
CAM 1,2.6693333333333333,1654,1002,Entrance
CAM 1,2.6693333333333333,448,999,Entrance
CAM 1,2.6693333333333333,1200,860,Entrance
CAM 1,2.6693333333333333,1596,856,Entrance
CAM 1,2.6693333333333333,16,842,Entrance
CAM 1,2.6693333333333333,75,831,Entrance
CAM 1,2.6693333333333333,1512,843,Entrance
CAM 1,2.6693333333333333,1830,838,Entrance
CAM 1,2.6693333333333333,470,842,Entrance
CAM 1,2.6693333333333333,155,808,Entrance
CAM 1,2.6693333333333333,1323,837,Entrance
CAM 1,2.6693333333333333,1284,744,Entrance
CAM 1,2.6693333333333333,445,690,Entrance
